name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,357,29636998,,yes,,,,"POLYGON ((-71.1368642 42.3427382, -71.1369763 42.3428088, -71.136897 42.342878, -71.1367849 42.3428076, -71.1368642 42.3427382))",POINT (-71.1368806 42.3428081),122.2,1315.2
,358,29637069,,yes,,,,"POLYGON ((-71.1346848 42.340236, -71.1348193 42.3403412, -71.1346904 42.3404319, -71.134849 42.340556, -71.1350058 42.3404458, -71.1351351 42.3405469, -71.1349751 42.3406594, -71.1348968 42.3405981, -71.1347863 42.3406758, -71.1345349 42.340479, -71.1346203 42.3404189, -71.1345278 42.3403465, -71.1346848 42.340236))",POINT (-71.1347865 42.3404846),938.1,10097.2
,359,29637125,,yes,,,,"POLYGON ((-71.1477361 42.342838, -71.1477988 42.3428564, -71.147687 42.3430658, -71.1476244 42.3430475, -71.1477361 42.342838))",POINT (-71.1477116 42.3429519),138.8,1493.7
,360,29637262,,yes,,,,"POLYGON ((-71.1417889 42.3390137, -71.141837 42.3391265, -71.1416732 42.3391649, -71.1416251 42.3390521, -71.1417889 42.3390137))",POINT (-71.1417311 42.3390893),185.9,2001.0
,361,29637278,,yes,,,,"POLYGON ((-71.1362546 42.3358717, -71.1363445 42.3359625, -71.1362822 42.3359964, -71.1362611 42.3359751, -71.1361535 42.3360337, -71.1360847 42.3359641, -71.1362546 42.3358717))",POINT (-71.136214 42.3359543),184.9,1990.7
,362,29637444,,yes,,,,"POLYGON ((-71.1314293 42.3359466, -71.1315746 42.3359571, -71.131558 42.3360836, -71.1314125 42.336073, -71.1314293 42.3359466))",POINT (-71.1314936 42.3360151),169.8,1827.6
,363,29637597,,yes,,,,"POLYGON ((-71.1370103 42.3381039, -71.1370835 42.3381396, -71.1368796 42.3383691, -71.1365348 42.3382005, -71.136752 42.3381592, -71.1367306 42.3381832, -71.1368314 42.3382325, -71.1368983 42.3381572, -71.1368763 42.3381465, -71.1369034 42.3381159, -71.1370103 42.3381039))",POINT (-71.1368453 42.338227),547.0,5887.6
Barclay on Beacon,364,29637631,,apartments,,,,"POLYGON ((-71.1305033 42.3399921, -71.1306855 42.3400175, -71.1306978 42.3400212, -71.13071 42.3400249, -71.1307221 42.3400288, -71.1307341 42.3400329, -71.130746 42.3400372, -71.1307578 42.3400415, -71.1307695 42.3400461, -71.1307811 42.3400508, -71.1307926 42.3400557, -71.130804 42.3400607, -71.1308152 42.3400657, -71.1308264 42.3400711, -71.1308374 42.3400764, -71.1308481 42.3400821, -71.1308589 42.3400878, -71.1308696 42.3400936, -71.13088 42.3400995, -71.1308904 42.3401057, -71.1309005 42.3401119, -71.1309105 42.3401184, -71.1309224 42.3401262, -71.1310545 42.3402031, -71.1309323 42.3403185, -71.1309105 42.3403058, -71.1308756 42.3403388, -71.130808 42.3402994, -71.1308268 42.3402817, -71.1307733 42.3402504, -71.1307671 42.3402467, -71.1307608 42.3402431, -71.1307544 42.3402395, -71.130748 42.340236, -71.1307414 42.3402326, -71.1307348 42.3402293, -71.130728 42.3402261, -71.1307212 42.3402229, -71.1307145 42.3402198, -71.1307076 42.3402168, -71.1307005 42.340214, -71.1306935 42.3402112, -71.1306864 42.3402085, -71.1306792 42.3402058, -71.130672 42.3402034, -71.1306647 42.3402009, -71.1306573 42.3401986, -71.1306499 42.3401964, -71.1306424 42.3401943, -71.1306349 42.3401922, -71.1306274 42.3401903, -71.1306197 42.3401885, -71.1306121 42.3401867, -71.1306045 42.3401851, -71.1305967 42.3401835, -71.130589 42.3401821, -71.1305812 42.3401807, -71.1305733 42.3401795, -71.1305656 42.3401784, -71.1305512 42.3401765, -71.1305037 42.3401699, -71.1304987 42.3401898, -71.130435 42.3401809, -71.1304543 42.3401047, -71.1304328 42.3401017, -71.1304487 42.3400392, -71.1304899 42.3400449, -71.1305033 42.3399921))",POINT (-71.1307324 42.3401487),961.5,10349.9
,365,29637686,,yes,,,,"POLYGON ((-71.1319482 42.3367886, -71.1323444 42.3370165, -71.1323482 42.3370231, -71.1323492 42.3370271, -71.1323493 42.3370311, -71.1323486 42.3370352, -71.1323471 42.3370391, -71.1323448 42.3370427, -71.1323416 42.3370461, -71.1323378 42.337049, -71.1323336 42.3370514, -71.1323287 42.3370534, -71.1323236 42.3370547, -71.1323182 42.3370554, -71.1323128 42.3370556, -71.131852 42.3370861, -71.1318417 42.3370845, -71.1318366 42.3370828, -71.131832 42.3370805, -71.1318279 42.3370777, -71.1318244 42.3370745, -71.1318216 42.3370709, -71.1318197 42.337067, -71.1318186 42.3370629, -71.1318184 42.3370588, -71.131819 42.3370547, -71.1318205 42.3370507, -71.1318228 42.3370469, -71.1318326 42.3370309, -71.1318182 42.337026, -71.1318647 42.3369505, -71.1319177 42.3369685, -71.1319282 42.3369513, -71.1321155 42.3370032, -71.1321219 42.3369952, -71.1319568 42.3369047, -71.131941 42.3369304, -71.1318749 42.3369081, -71.1319482 42.3367886))",POINT (-71.1320518 42.3369759),723.3,7785.6
,366,29637816,,yes,,,,"POLYGON ((-71.1299941 42.3362933, -71.1300467 42.3364279, -71.1299425 42.3364503, -71.1298898 42.3363157, -71.1299941 42.3362933))",POINT (-71.1299683 42.3363718),139.1,1497.7
